date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:59	108539/108539	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20May%202024%2018:00:59%20GMT	https://mandaonsol.top/	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/index.html	(from )
13:00:59	399/399	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202024%2018:00:59%20GMT	https://mandaonsol.top/robots.txt		(from )
13:01:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:00:59%20GMT	http://mandaonsol.top/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://mandaonsol.top/)
13:01:00	510/510	---M--	200	added ('OK')	image/png	date:Sun,%2005%20May%202024%2018:01:00%20GMT	https://mandaonsol.top/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://mandaonsol.top/)
13:01:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:00%20GMT	http://mandaonsol.top/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://mandaonsol.top/)
13:01:00	1053/1053	---M--	200	added ('OK')	image/png	date:Sun,%2005%20May%202024%2018:01:00%20GMT	https://mandaonsol.top/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://mandaonsol.top/)
13:01:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:00%20GMT	http://mandaonsol.top/725b756a69a7d4c235070e51acd85560.png	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/725b756a69a7d4c235070e51acd85560.png	(from https://mandaonsol.top/)
13:01:01	6245/6245	---M--	200	added ('OK')	image/png	date:Sun,%2005%20May%202024%2018:01:01%20GMT	https://mandaonsol.top/725b756a69a7d4c235070e51acd85560.png	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/725b756a69a7d4c235070e51acd85560.png	(from https://mandaonsol.top/)
13:01:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:01%20GMT	http://mandaonsol.top/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	(from https://mandaonsol.top/)
13:01:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:01%20GMT	http://mandaonsol.top/fonts/33696a29f45c1b554a4c12443b998d21.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/33696a29f45c1b554a4c12443b998d21.woff2	(from https://mandaonsol.top/)
13:01:01	40708/40708	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20May%202024%2018:01:01%20GMT	https://mandaonsol.top/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	(from https://mandaonsol.top/)
13:01:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:02%20GMT	http://mandaonsol.top/fonts/8dbae49e1280328b442be6dfff163124.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/8dbae49e1280328b442be6dfff163124.woff2	(from https://mandaonsol.top/)
13:01:03	41456/41456	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20May%202024%2018:01:02%20GMT	https://mandaonsol.top/fonts/33696a29f45c1b554a4c12443b998d21.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/33696a29f45c1b554a4c12443b998d21.woff2	(from https://mandaonsol.top/)
13:01:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:03%20GMT	http://mandaonsol.top/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	(from https://mandaonsol.top/)
13:01:03	42500/42500	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20May%202024%2018:01:03%20GMT	https://mandaonsol.top/fonts/8dbae49e1280328b442be6dfff163124.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/8dbae49e1280328b442be6dfff163124.woff2	(from https://mandaonsol.top/)
13:01:05	42876/42876	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20May%202024%2018:01:04%20GMT	https://mandaonsol.top/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	(from https://mandaonsol.top/)
13:01:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:04%20GMT	http://mandaonsol.top/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	(from https://mandaonsol.top/)
13:01:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20May%202024%2018:01:05%20GMT	http://mandaonsol.top/fonts/e5e43f51d6d7939d8911c861efa5f9b7.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/e5e43f51d6d7939d8911c861efa5f9b7.woff2	(from https://mandaonsol.top/)
13:01:05	41508/41508	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20May%202024%2018:01:05%20GMT	https://mandaonsol.top/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	C:/MYWEB/https___mandaonsol.top_/mandaonsol.top/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	(from https://mandaonsol.top/)
